id,created_at,productNum,productName,HSN,sizes,colour,subCategory,category,brand,description,unitPrice,discount,price,quantity,imageUrl,rating,rentable
1,2024-11-20 08:00:58.1773+00,PRD-001,ASIAN PAINTS TRACTOR EMULTION SUPWHITE,32099020,1L,SUPWHITE,TRACTOR EMULTION,PAINTS,ASIAN PAINT,"Tractor Emulsion helps with that. With 1.5 times more coverage than your average distemper, it provides a superior finish at an affordable cost. Additionally, it is a lead-free matt paint. A wide range of shades makes this water-based emulsion paint an upgrade from distemper.",169.492,15,200,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-EMULSION-SUPWHITE.webp,5,false
2,2024-11-20 08:00:58.1773+00,PRD-002,ASIAN PAINTS TRACTOR EMULTION SUPWHITE,32099020,4L,SUPWHITE,TRACTOR EMULTION,PAINTS,ASIAN PAINT,"Tractor Emulsion helps with that. With 1.5 times more coverage than your average distemper, it provides a superior finish at an affordable cost. Additionally, it is a lead-free matt paint. A wide range of shades makes this water-based emulsion paint an upgrade from distemper.",584.746,25,690,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-EMULSION-SUPWHITE.webp,4,false
3,2024-11-20 08:00:58.1773+00,PRD-003,ASIAN PAINTS TRACTOR EMULTION SUPWHITE,32099020,10L,SUPWHITE,TRACTOR EMULTION,PAINTS,ASIAN PAINT,"Tractor Emulsion helps with that. With 1.5 times more coverage than your average distemper, it provides a superior finish at an affordable cost. Additionally, it is a lead-free matt paint. A wide range of shades makes this water-based emulsion paint an upgrade from distemper.",1313.56,35,1550,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-EMULSION-SUPWHITE.webp,5,false
4,2024-11-20 08:00:58.1773+00,PRD-004,ASIAN PAINTS TRACTOR EMULTION SUPWHITE,32099020,20L,SUPWHITE,TRACTOR EMULTION,PAINTS,ASIAN PAINT,"Tractor Emulsion helps with that. With 1.5 times more coverage than your average distemper, it provides a superior finish at an affordable cost. Additionally, it is a lead-free matt paint. A wide range of shades makes this water-based emulsion paint an upgrade from distemper.",2203.39,45,2600,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-EMULSION-SUPWHITE.webp,4,false
5,2024-11-20 08:00:58.1773+00,PRD-005,ASIAN PAINTS TRACTOR SHYNE WHITE,,1L,WHITE,"TRACTOR SHYNE ",PAINTS,ASIAN PAINT,"Tractor Emulsion Shyne, an affordable emulsion for your interior walls. It provides more paint coverage than regular distemper and offers a wide range of shades that makes your home unique. With 3 years performance warranty, Tractor Emulsion Shyne keeps your walls shinning for a long time, and keeps the compliments coming.",203.39,10,240,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-SHYNE-WHITE.webp,5,false
6,2024-11-20 08:00:58.1773+00,PRD-006,ASIAN PAINTS TRACTOR SHYNE WHITE,,4L,WHITE,"TRACTOR SHYNE ",PAINTS,ASIAN PAINT,"Tractor Emulsion Shyne, an affordable emulsion for your interior walls. It provides more paint coverage than regular distemper and offers a wide range of shades that makes your home unique. With 3 years performance warranty, Tractor Emulsion Shyne keeps your walls shinning for a long time, and keeps the compliments coming.",745.763,25,880,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-SHYNE-WHITE.webp,5,false
7,2024-11-20 08:00:58.1773+00,PRD-007,ASIAN PAINTS TRACTOR SHYNE WHITE,,10L,WHITE,"TRACTOR SHYNE ",PAINTS,ASIAN PAINT,"Tractor Emulsion Shyne, an affordable emulsion for your interior walls. It provides more paint coverage than regular distemper and offers a wide range of shades that makes your home unique. With 3 years performance warranty, Tractor Emulsion Shyne keeps your walls shinning for a long time, and keeps the compliments coming.",1610.17,35,1900,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-SHYNE-WHITE.webp,5,false
8,2024-11-20 08:00:58.1773+00,PRD-008,ASIAN PAINTS TRACTOR SHYNE WHITE,,20L,WHITE,"TRACTOR SHYNE ",PAINTS,ASIAN PAINT,"Tractor Emulsion Shyne, an affordable emulsion for your interior walls. It provides more paint coverage than regular distemper and offers a wide range of shades that makes your home unique. With 3 years performance warranty, Tractor Emulsion Shyne keeps your walls shinning for a long time, and keeps the compliments coming.",3008.47,40,3550,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-SHYNE-WHITE.webp,5,false
9,2024-11-20 08:00:58.1773+00,PRD-009,ASIAN PAINTS TRACTOR UNO WHITE,,2KG,WHITE,TRACTOR UNO,PAINTS,ASIAN PAINT,"This water-based acrylic distemper from Asian Paints has 900+ shades to choose from to make sure you get a home in the colour of your choice. Moreover, Tractor Uno is a washable, lead-free paint with a stylish matt finish.",152.542,15,180,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-UNO-WHITE.webp,4,false
10,2024-11-20 08:00:58.1773+00,PRD-010,ASIAN PAINTS TRACTOR UNO WHITE,,5KG,WHITE,TRACTOR UNO,PAINTS,ASIAN PAINT,"This water-based acrylic distemper from Asian Paints has 900+ shades to choose from to make sure you get a home in the colour of your choice. Moreover, Tractor Uno is a washable, lead-free paint with a stylish matt finish.",296.61,20,350,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-UNO-WHITE.webp,4,false
11,2024-11-20 08:00:58.1773+00,PRD-011,ASIAN PAINTS TRACTOR UNO WHITE,,10KG,WHITE,TRACTOR UNO,PAINTS,ASIAN PAINT,"This water-based acrylic distemper from Asian Paints has 900+ shades to choose from to make sure you get a home in the colour of your choice. Moreover, Tractor Uno is a washable, lead-free paint with a stylish matt finish.",466.102,25,550,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-UNO-WHITE.webp,4,false
12,2024-11-20 08:00:58.1773+00,PRD-012,ASIAN PAINTS TRACTOR UNO WHITE,,20KG,WHITE,TRACTOR UNO,PAINTS,ASIAN PAINT,"This water-based acrylic distemper from Asian Paints has 900+ shades to choose from to make sure you get a home in the colour of your choice. Moreover, Tractor Uno is a washable, lead-free paint with a stylish matt finish.",779.661,35,920,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-TRACTOR-UNO-WHITE.webp,5,false
13,2024-11-20 08:00:58.1773+00,PRD-013,ASIAN PAINTS APCOLITE PREMIUM EMULTION WHITE,,1L,WHITE,APCOLITE PREMIUM EMULTION,PAINTS,ASIAN PAINT,A paint with no complaints! Standing tall and strong as decades go by. Some walls have even seen generations go by and not withered. Those walls had the touch of Apcolite Premium Emulsion. Persistent paint protection film and stain guard of this washable wall paint will keep you stress free and stain free.,322.034,40,380,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-APCOLITE-PREMIUM-EMULSION-WHITE.webp,5,false
14,2024-11-20 08:00:58.1773+00,PRD-014,ASIAN PAINTS APCOLITE PREMIUM EMULTION WHITE,,4L,WHITE,APCOLITE PREMIUM EMULTION,PAINTS,ASIAN PAINT,A paint with no complaints! Standing tall and strong as decades go by. Some walls have even seen generations go by and not withered. Those walls had the touch of Apcolite Premium Emulsion. Persistent paint protection film and stain guard of this washable wall paint will keep you stress free and stain free.,1144.07,45,1350,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-APCOLITE-PREMIUM-EMULSION-WHITE.webp,5,false
15,2024-11-20 08:00:58.1773+00,PRD-015,ASIAN PAINTS APCOLITE PREMIUM EMULTION WHITE,,10L,WHITE,APCOLITE PREMIUM EMULTION,PAINTS,ASIAN PAINT,A paint with no complaints! Standing tall and strong as decades go by. Some walls have even seen generations go by and not withered. Those walls had the touch of Apcolite Premium Emulsion. Persistent paint protection film and stain guard of this washable wall paint will keep you stress free and stain free.,2711.86,55,3200,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-APCOLITE-PREMIUM-EMULSION-WHITE.webp,5,false
16,2024-11-20 08:00:58.1773+00,PRD-016,ASIAN PAINTS APCOLITE PREMIUM EMULTION WHITE,,20L,WHITE,APCOLITE PREMIUM EMULTION,PAINTS,ASIAN PAINT,A paint with no complaints! Standing tall and strong as decades go by. Some walls have even seen generations go by and not withered. Those walls had the touch of Apcolite Premium Emulsion. Persistent paint protection film and stain guard of this washable wall paint will keep you stress free and stain free.,4915.25,65,5800,100,https://zwpxczeturmsdddiwpfl.supabase.co/storage/v1/object/public/product-images/paints/asian-paints/ASIAN-PAINTS-APCOLITE-PREMIUM-EMULSION-WHITE.webp,5,false
17,2024-11-20 08:00:58.1773+00,PRD-017,ASIAN PAINTS ROYALE LUXURY EMULTION WHITE,,1L,WHITE,ROYALE LUXURY EMULTION,PAINTS,ASIAN PAINT,"Luxury is just a brushstroke away with Royale Luxury Emulsion. It’s the only paint emulsion in India equipped with Teflon surface protector which makes it easily washable and highly durable. It is a non-toxic, lead-free, low VOC and odourless paint that protects the walls from tough stains & harmful bacteria.",491.525,15,580,100,,5,false
18,2024-11-20 08:00:58.1773+00,PRD-018,ASIAN PAINTS ROYALE LUXURY EMULTION WHITE,,4L,WHITE,ROYALE LUXURY EMULTION,PAINTS,ASIAN PAINT,"Luxury is just a brushstroke away with Royale Luxury Emulsion. It’s the only paint emulsion in India equipped with Teflon surface protector which makes it easily washable and highly durable. It is a non-toxic, lead-free, low VOC and odourless paint that protects the walls from tough stains & harmful bacteria.",1864.41,20,2200,100,,4,false
